pc1_var,pc2_var,anisotropy,pca_angle_rad,pca_angle_deg,cov_rr,cov_gg,cov_rg,ellipse_area,hull_area,skew_r,skew_g,kurt_r,kurt_g,entropy,n_points,SubID
109589.98329788574,8168.348886022284,13.416418033443286,0.3465105929216351,19.85359453098543,97891.9816091954,19866.350574712647,32397.33333333334,93994.50012420204,3318.9061554698387,1.261355469593541,0.3820057107746702,1.9706305197574432,0.32278997216991145,1.9798788605981702e-11,30,MET001
43656.31171472857,10043.62767921112,4.346667669201928,0.032160251496744036,1.842646678842722,43621.55871212122,10078.380681818178,1080.2471590909115,65783.76048425818,2273.401323973999,0.4271110538220858,-0.509649176555855,-0.3880525627890594,0.5916925923316523,0.020995000673412267,33,MET002
55176.480681485744,6514.934973035396,8.46922968684341,0.35380089501800605,20.27129807248286,49335.219973009436,12356.195681511472,15815.323211875839,59563.73373556309,2696.7421773980814,0.9926056877534951,-0.29842119357072333,2.2547818272009534,-0.19789998066516734,0.6931472507265705,39,MET003
23518.551311666684,1693.7189586033,13.88574603372268,-0.6147952480406824,-35.22517297742969,16257.687687687685,8954.582582582585,-10283.33558558558,19827.859391009035,1831.004753058587,-1.5621916686939865,1.8702069292942585,4.339296928871668,5.693616252348788,4.160348850600884e-06,37,MET004
40044.690943763584,4396.171375077038,9.108992240563381,0.22798781113605038,13.062739358521396,38223.619323671504,6217.242995169081,7848.707246376813,41683.065696203055,1825.4227587306016,0.5555548179576595,-0.0496012932827352,-0.3784005455091881,-1.128333561969081,0.0018879100838025658,46,MET005
100434.33086985571,10943.099629470038,9.177868635992636,0.2674624875059515,15.32447171216153,94183.67611336033,17193.75438596491,22810.26315789474,104150.44851385744,3207.695457589941,0.6462666396966047,0.5716313038890979,0.49254771427751853,0.3159044187904345,2.483569328542009e-09,39,MET006
210182.02832697355,49142.340094078885,4.277004878575129,0.2156986720071193,12.35862355258457,202804.9894736842,56519.378947368416,33668.61052631579,319282.84064011154,4063.706733103717,-0.03820630533591125,0.6974604396578982,-0.903795861194836,0.283552975279012,-1.000088900581841e-12,20,MET007
116395.66891268047,2892.4737299625212,40.2408733074954,0.3146437471630438,18.027758762623776,105524.73423423423,13763.408408408406,33402.22447447447,57643.85201709803,2974.0468697314127,0.21913235711053247,0.3606372978287551,-0.4224028839363161,-0.6594086438313038,0.7908884705385718,37,MET008
50878.605211130154,9993.244788869466,5.091299801621895,0.4460675097127331,25.557785684450465,43268.848780487824,17603.00121951219,15912.864024390241,70838.72470857717,2296.634696147545,0.5647972128350586,0.9918287228109403,0.10675539168637771,0.46405428342513266,1.46043489453225e-11,41,MET009
157606.94924939732,2738.9619824866986,57.54258374419139,0.3451433761933088,19.77525878277265,139879.47826086957,20466.432971014492,49306.739130434784,65272.54646709407,3595.2555837402188,-0.025966973487711213,0.23505458097862558,0.5050758436230653,-0.03836664767760789,-1.000088900581841e-12,24,MET010
