Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
2	365	346	265	1006	4157	233.0	2400	0	222	0
2	364	345	265	1003	4164	232.0	2400	0	222	0
3	365	347	265	1007	4157	235.0	2400	355	0	1
3	363	345	264	1002	4161	233.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1921	835	489	3296	2360	336.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1914	833	488	3286	2362	336.0	2400	355	0	1
3	1911	831	486	3279	2359	335.0	2400	355	0	1
3	1915	833	488	3288	2361	335.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1915	833	488	3287	2361	335.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1914	833	488	3287	2362	336.0	2400	355	0	1
3	1947	842	491	3331	2351	337.0	2400	355	0	1
3	1975	853	497	3376	2349	341.0	2400	355	0	1
3	1970	849	495	3366	2348	338.0	2400	355	0	1
3	1974	852	496	3374	2348	340.0	2400	355	0	1
3	1971	850	495	3367	2347	339.0	2400	355	0	1
3	1973	851	496	3372	2348	339.0	2400	355	0	1
3	1972	850	495	3369	2347	339.0	2400	355	0	1
3	1972	851	496	3370	2349	339.0	2400	355	0	1
3	1966	850	495	3360	2350	341.0	2400	355	0	1
3	1974	851	496	3373	2348	339.0	2400	355	0	1
3	1970	850	495	3366	2348	339.0	2400	355	0	1
3	1914	833	487	3284	2360	336.0	2400	355	0	1
3	1912	831	486	3281	2359	335.0	2400	355	0	1
3	1914	833	488	3285	2362	336.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1921	835	489	3296	2360	336.0	2400	355	0	1
3	1912	831	486	3280	2359	335.0	2400	355	0	1
3	1914	833	488	3286	2362	336.0	2400	355	0	1
3	1912	831	486	3279	2359	335.0	2400	355	0	1
3	1914	833	488	3287	2362	336.0	2400	355	0	1
3	1912	831	486	3279	2359	335.0	2400	355	0	1
3	1914	833	488	3287	2362	336.0	2400	355	0	1
3	1912	831	486	3279	2359	335.0	2400	355	0	1
3	1974	853	497	3376	2350	341.0	2400	355	0	1
3	1970	849	495	3365	2348	338.0	2400	355	0	1
3	1974	852	497	3375	2350	340.0	2400	355	0	1
3	1970	849	495	3366	2348	338.0	2400	355	0	1
3	1971	850	495	3367	2347	339.0	2400	355	0	1
3	1972	851	496	3371	2349	339.0	2400	355	0	1
3	1972	850	495	3369	2347	339.0	2400	355	0	1
3	1971	851	496	3370	2349	340.0	2400	355	0	1
3	1966	849	495	3362	2350	339.0	2400	355	0	1
3	1971	850	495	3368	2347	339.0	2400	355	0	1
3	1926	836	489	3302	2358	336.0	2400	355	0	0
3	2094	889	513	3549	2324	347.0	2400	355	0	0
3	3518	1334	717	5642	2167	438.0	2400	355	0	0
3	3513	1332	716	5632	2167	437.0	2400	355	0	0
3	3519	1335	718	5643	2168	439.0	2400	355	0	0
4	3512	1331	716	5631	2167	436.0	2400	0	444	1
4	3518	1335	718	5642	2168	439.0	2400	0	444	1
4	1893	982	538	3480	2473	541.0	2400	0	444	1
4	1849	1070	568	3566	2561	672.0	2400	0	444	1
4	1844	1068	566	3556	2560	672.0	2400	0	444	1
4	1849	1070	568	3565	2561	672.0	2400	0	444	1
4	1844	1068	566	3557	2560	672.0	2400	0	444	1
4	1791	1041	555	3463	2571	655.0	2400	0	444	1
4	1793	1044	557	3471	2574	658.0	2400	0	444	1
4	1792	1042	556	3467	2573	655.0	2400	0	444	1
4	1793	1044	556	3471	2572	658.0	2400	0	444	1
4	1791	1041	555	3464	2571	655.0	2400	0	444	1
4	1793	1043	556	3469	2572	657.0	2400	0	444	1
4	1797	1045	556	3476	2569	659.0	2400	0	444	1
4	1793	1043	556	3469	2572	657.0	2400	0	444	1
4	1791	1042	555	3466	2571	656.0	2400	0	444	1
4	1792	1043	556	3469	2573	657.0	2400	0	444	1
4	1803	1048	558	3486	2570	660.0	2400	0	444	1
4	1845	1069	567	3561	2561	673.0	2400	0	444	1
4	1848	1069	567	3563	2559	672.0	2400	0	444	1
4	1846	1069	567	3560	2561	672.0	2400	0	444	1
4	1841	1066	566	3552	2562	670.0	2400	0	444	1
4	1846	1069	566	3560	2559	673.0	2400	0	444	1
4	1847	1069	567	3563	2560	672.0	2400	0	444	1
4	1846	1069	566	3560	2559	673.0	2400	0	444	1
4	1846	1069	566	3561	2559	673.0	2400	0	444	1
4	1846	1070	567	3563	2561	674.0	2400	0	444	1
4	1847	1068	566	3560	2558	671.0	2400	0	444	1
4	1800	1047	558	3481	2572	659.0	2400	0	444	1
4	1791	1041	555	3463	2571	655.0	2400	0	444	1
4	1793	1044	557	3471	2574	658.0	2400	0	444	1
4	1791	1041	555	3463	2571	655.0	2400	0	444	1
4	1793	1044	557	3471	2574	658.0	2400	0	444	1
4	1791	1041	555	3464	2571	655.0	2400	0	444	1
4	1793	1044	556	3471	2572	658.0	2400	0	444	1
4	1791	1041	555	3465	2571	655.0	2400	0	444	1
4	1793	1043	556	3470	2572	657.0	2400	0	444	1
4	1798	1045	556	3476	2569	658.0	2400	0	444	1
4	1793	1043	556	3469	2572	657.0	2400	0	444	1
